"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CGI_10000982" 609.716906358049 1.64712780700967 0.546175567304908 3.01574787597584 0.00256346315329749 0.0206946362878031
"CGI_10000985" 94.3336777343323 1.76074715036991 0.494376679374797 3.56154977333599 0.000368672198107221 0.00492902240709477
"CGI_10001013" 153.847066842249 -2.53384521865941 0.363380932132508 -6.97297242260208 3.10313473292644e-12 6.40233116034232e-10
"CGI_10001020" 39.1472735436777 -1.75363751834887 0.647094101771804 -2.71001932106512 0.00672792888316146 0.0418329715077669
"CGI_10001025" 40.3734320220423 1.65262200755687 0.563559450088737 2.93247146737873 0.00336275820505621 0.0251148654755247
"CGI_10001043" 95.8981788442171 -2.48431384719402 0.425568512171015 -5.8376354832279 5.2946836453548e-09 5.08625800344242e-07
"CGI_10001049" 1077.78634995234 1.53896642665984 0.425565705364504 3.61628394219804 0.000298862544843104 0.0041675486667983
"CGI_10001070" 226.956878676262 -1.62797967515117 0.508473870362894 -3.20169780600386 0.00136620239258352 0.0131242172697071
"CGI_10001089" 368.448025177355 0.988031514889974 0.349334496166439 2.82832507448457 0.00467922653488823 0.0319503711799288
"CGI_10001110" 1127.10610760973 1.17626854093483 0.365529456859944 3.21798563387883 0.00129094283570913 0.0125742264619822
"CGI_10001130" 125.039267631003 1.22153485609671 0.445640454265555 2.74107712709764 0.00612381308961036 0.0392044959291134
"CGI_10001131" 98.2646156150352 1.71053647848361 0.507877380530193 3.36801075231568 0.000757126432705634 0.00856472742193364
"CGI_10001132" 52.7615150971797 2.25631252484516 0.459484678179173 4.91052832008758 9.0831336259675e-07 3.94166298768497e-05
